Student Name,Admission Number,Class Name,Stream Name,Parent Name,Parent Email,Date of Birth
Emmanuel Baraka Simiyu,CBC-022,PP1,West,Mark Njeri Simiyu,mark.njeri@giakanja.co.ke,2021-07-16
Diana Awino Onyango,CBC-023,PP1,West,Samuel Warsame Onyango,samuel.warsame@giakanja.co.ke,2021-03-04
Enock Mwikali Mugambi,CBC-024,PP1,West,Wanjiku Wambui Mugambi,wanjiku.wambui@giakanja.co.ke,2021-03-06
Adhiambo Ochieng Ochieng,CBC-025,PP1,West,Emmanuel Akinyi Ochieng,emmanuel.akinyi@giakanja.co.ke,2020-06-01
Clinton Njoroge Kimani,CBC-026,PP1,West,Chepkoech Omondi Kimani,chepkoech.omondi@giakanja.co.ke,2020-01-25
Zawadi Njoroge Kibet,CBC-027,PP1,West,Jacqueline Kamau Kibet,jacqueline.kamau@giakanja.co.ke,2020-05-04
Duncan Kimani Ngilu,CBC-028,PP1,West,Muthoni Kipkorir Ngilu,muthoni.kipkorir@giakanja.co.ke,2021-12-08
Irene Otieno Muthike,CBC-029,PP1,West,Sharon Baraka Muthike,sharon.baraka@giakanja.co.ke,2021-03-17
Meshack Njeri Oketch,CBC-030,PP1,West,Rodgers Otieno Oketch,rodgers.otieno@giakanja.co.ke,2020-06-13
Leonard Adhiambo Okeyo,CBC-031,PP2,East,Daniel Kimani Okeyo,daniel.kimani@giakanja.co.ke,2020-11-01
Vivian Warsame Mutua,CBC-032,PP2,East,Aisha Awino Mutua,aisha.awino@giakanja.co.ke,2020-06-10
Kiptoo Wairimu Muthike,CBC-033,PP2,East,Vivian Kimani Muthike,vivian.kimani@giakanja.co.ke,2020-03-01
Rachel Akelo Kyalo,CBC-034,PP2,East,Jacqueline Nekesa Kyalo,jacqueline.nekesa@giakanja.co.ke,2019-04-11
Ochieng Zawadi Simiyu,CBC-035,PP2,East,Caroline Waweru Simiyu,caroline.waweru@giakanja.co.ke,2019-09-07
Nafula Warsame Gacheru,CBC-036,PP2,East,Vincent Muthoni Gacheru,vincent.muthoni@giakanja.co.ke,2019-01-04
Joseph Ochieng Mboya,CBC-037,PP2,East,Amos Mwikali Mboya,amos.mwikali@giakanja.co.ke,2019-03-10
Yvonne Mwikali Mwangi,CBC-038,PP2,East,Enock Otieno Mwangi,enock.otieno@giakanja.co.ke,2020-09-14
Daniel Baraka Kibet,CBC-039,PP2,East,Cynthia Maina Kibet,cynthia.maina@giakanja.co.ke,2020-06-03
Zara Warsame Mugo,CBC-040,PP2,East,Duncan Kagendo Mugo,duncan.kagendo@giakanja.co.ke,2019-10-08
Shadrack Kipchoge Waititu,CBC-041,PP2,East,Jacqueline Maina Waititu,jacqueline.maina@giakanja.co.ke,2019-08-01
Ann Maina Abdi,CBC-042,PP2,East,Hannah Mwikali Abdi,hannah.mwikali@giakanja.co.ke,2020-08-04
Otieno Waweru Simiyu,CBC-043,PP2,East,Karen Auma Simiyu,karen.auma@giakanja.co.ke,2019-06-01
Sasha Warsame Thuo,CBC-044,PP2,East,Faith Mwenda Thuo,faith.mwenda@giakanja.co.ke,2019-03-26
Anthony Waweru Ogola,CBC-045,PP2,East,Alice Adhiambo Ogola,alice.adhiambo@giakanja.co.ke,2019-12-07
Calvin Ochieng Halake,CBC-046,PP2,West,Timothy Wanjiku Halake,timothy.wanjiku@giakanja.co.ke,2019-07-01
Jane Zawadi Gitau,CBC-047,PP2,West,Gilbert Omondi Gitau,gilbert.omondi@giakanja.co.ke,2020-10-17
George Omondi Barasa,CBC-048,PP2,West,Olivia Kimani Barasa,olivia.kimani@giakanja.co.ke,2020-07-21
Eunice Atieno Alego,CBC-049,PP2,West,Njeri Kimani Alego,njeri.kimani@giakanja.co.ke,2020-06-07
Shadrack Adhiambo Siaya,CBC-050,PP2,West,Elizabeth Kamau Siaya,elizabeth.kamau@giakanja.co.ke,2019-12-22
Sandra Waweru Ogola,CBC-051,PP2,West,Oscar Chelangat Ogola,oscar.chelangat@giakanja.co.ke,2019-06-16
Samuel Maina Mugo,CBC-052,PP2,West,Kipchoge Waweru Mugo,kipchoge.waweru@giakanja.co.ke,2020-01-23
Winnie Kipkorir Ochieng,CBC-053,PP2,West,Xenia Nekesa Ochieng,xenia.nekesa@giakanja.co.ke,2019-01-10
Clinton Warsame Makau,CBC-054,PP2,West,Adhiambo Muthoni Makau,adhiambo.muthoni@giakanja.co.ke,2019-10-24
Wambui Kamau Warui,CBC-055,PP2,West,Gloria Akinyi Warui,gloria.akinyi@giakanja.co.ke,2020-02-11
Waweru Zawadi Ochieng,CBC-056,PP2,West,Jebet Kamau Ochieng,jebet.kamau@giakanja.co.ke,2020-05-13
Irene Wambui Kavata,CBC-057,PP2,West,Ursula Mwenda Kavata,ursula.mwenda@giakanja.co.ke,2020-10-28
Charles Adhiambo Thuo,CBC-058,PP2,West,Winnie Waweru Thuo,winnie.waweru@giakanja.co.ke,2020-11-14
Mutheu Omondi Wesonga,CBC-059,PP2,West,Kamau Adhiambo Wesonga,kamau.adhiambo@giakanja.co.ke,2020-01-06
Emmanuel Njoroge Alego,CBC-060,PP2,West,Geoffrey Akelo Alego,geoffrey.akelo@giakanja.co.ke,2020-02-07
Samson Waweru Sang,CBC-061,Grade 1,East,Paul Njoroge Sang,paul.njoroge@giakanja.co.ke,2019-11-02
Alice Auma Ndirangu,CBC-062,Grade 1,East,Zara Kimani Ndirangu,zara.kimani@giakanja.co.ke,2018-04-19
Elijah Wairimu Macharia,CBC-063,Grade 1,East,Fatuma Akelo Macharia,fatuma.akelo@giakanja.co.ke,2018-06-02
Akinyi Otieno Barasa,CBC-064,Grade 1,East,Sarah Ochieng Barasa,sarah.ochieng@giakanja.co.ke,2019-11-05
Emmanuel Awino Ouma,CBC-065,Grade 1,East,Derrick Warsame Ouma,derrick.warsame@giakanja.co.ke,2019-05-10
Betty Njoroge Rotich,CBC-066,Grade 1,East,Beatrice Ochieng Rotich,beatrice.ochieng@giakanja.co.ke,2019-12-19
James Muthoni Omar,CBC-067,Grade 1,East,Nekesa Maina Omar,nekesa.maina@giakanja.co.ke,2019-06-17
Betty Mwenda Owino,CBC-068,Grade 1,East,Chebet Wairimu Owino,chebet.wairimu@giakanja.co.ke,2018-03-12
Michael Mwikali Murithi,CBC-069,Grade 1,East,Solomon Njoroge Murithi,solomon.njoroge@giakanja.co.ke,2018-12-04
Yvonne Otieno Kasyoka,CBC-070,Grade 1,East,Kagendo Otieno Kasyoka,kagendo.otieno@giakanja.co.ke,2019-10-10
John Kamau Musyoka,CBC-071,Grade 1,East,Derrick Waweru Musyoka,derrick.waweru@giakanja.co.ke,2019-01-27
Hellen Mwenda Mwenda,CBC-072,Grade 1,East,Lydia Kiptoo Mwenda,lydia.kiptoo@giakanja.co.ke,2018-08-12
Ezekiel Wambui Bett,CBC-073,Grade 1,East,Edna Chelangat Bett,edna.chelangat@giakanja.co.ke,2019-05-04
Kemunto Akelo Gatheru,CBC-074,Grade 1,East,Michael Nekesa Gatheru,michael.nekesa@giakanja.co.ke,2019-05-04
Kamau Omondi Wainaina,CBC-075,Grade 1,East,Sheila Akelo Wainaina,sheila.akelo@giakanja.co.ke,2019-10-10
Adrian Wairimu Rotich,CBC-076,Grade 1,West,Muthoni Njoroge Rotich,muthoni.njoroge@giakanja.co.ke,2018-01-23
Sharon Waweru Ruto,CBC-077,Grade 1,West,Njoroge Kipchoge Ruto,njoroge.kipchoge@giakanja.co.ke,2019-07-12
Derrick Akelo Owino,CBC-078,Grade 1,West,Joyce Chelangat Owino,joyce.chelangat@giakanja.co.ke,2018-02-21
Linda Kamau Abdi,CBC-079,Grade 1,West,Sasha Mwikali Abdi,sasha.mwikali@giakanja.co.ke,2019-09-23
Joshua Muthoni Mutua,CBC-080,Grade 1,West,Kevin Chelangat Mutua,kevin.chelangat@giakanja.co.ke,2018-02-20
Nancy Auma Gacheru,CBC-081,Grade 1,West,Zara Nekesa Gacheru,zara.nekesa@giakanja.co.ke,2019-07-25
Raymond Wanjiku Bett,CBC-082,Grade 1,West,David Kagendo Bett,david.kagendo@giakanja.co.ke,2019-05-19
Adhiambo Atieno Okeyo,CBC-083,Grade 1,West,Christopher Akelo Okeyo,christopher.akelo@giakanja.co.ke,2018-09-26
Njoroge Waweru Mwau,CBC-084,Grade 1,West,Adrian Wanjiku Mwau,adrian.wanjiku@giakanja.co.ke,2018-10-23
Olivia Njoroge Ogola,CBC-085,Grade 1,West,Beatrice Awino Ogola,beatrice.awino@giakanja.co.ke,2019-06-18
Trevor Waweru Warsame,CBC-086,Grade 1,West,Eric Kipkorir Warsame,eric.kipkorir@giakanja.co.ke,2019-05-02
Teresa Warsame Obare,CBC-087,Grade 1,West,Oscar Kamau Obare,oscar.kamau@giakanja.co.ke,2019-02-27
Paul Chelangat Ndirangu,CBC-088,Grade 1,West,Solomon Adhiambo Ndirangu,solomon.adhiambo@giakanja.co.ke,2019-01-01
Wangari Wambui Mboya,CBC-089,Grade 1,West,Fatuma Wambui Mboya,fatuma.wambui@giakanja.co.ke,2019-07-22
Geoffrey Nekesa Okeyo,CBC-090,Grade 1,West,Zawadi Akelo Okeyo,zawadi.akelo@giakanja.co.ke,2018-01-09
Francis Muthoni Mureithi,CBC-091,Grade 2,East,Elizabeth Kimani Mureithi,elizabeth.kimani@giakanja.co.ke,2018-07-07
Teresa Mwikali Nyakundi,CBC-092,Grade 2,East,Mohamed Waweru Nyakundi,mohamed.waweru@giakanja.co.ke,2017-09-18
Samson Auma Odero,CBC-093,Grade 2,East,Irene Zawadi Odero,irene.zawadi@giakanja.co.ke,2018-05-08
Wairimu Omondi Sang,CBC-094,Grade 2,East,Mary Akinyi Sang,mary.akinyi@giakanja.co.ke,2018-06-06
Maina Warsame Warui,CBC-095,Grade 2,East,Zara Kimani Warui,zara.kimani@giakanja.co.ke,2018-09-03
Sasha Waweru Kavata,CBC-096,Grade 2,East,Cynthia Akelo Kavata,cynthia.akelo@giakanja.co.ke,2017-12-21
Victor Atieno Musyoka,CBC-097,Grade 2,East,Amos Maina Musyoka,amos.maina@giakanja.co.ke,2017-10-08
Millicent Njoroge Murithi,CBC-098,Grade 2,East,Mercy Baraka Murithi,mercy.baraka@giakanja.co.ke,2018-02-07
Joseph Akelo Odero,CBC-099,Grade 2,East,Chebet Mwikali Odero,chebet.mwikali@giakanja.co.ke,2017-11-20
Hellen Otieno Mugo,CBC-100,Grade 2,East,Jebet Akinyi Mugo,jebet.akinyi@giakanja.co.ke,2017-02-27
John Njoroge Koech,CBC-101,Grade 2,East,Kipngetich Kipchoge Koech,kipngetich.kipchoge@giakanja.co.ke,2018-03-14
Margaret Mwenda Khisa,CBC-102,Grade 2,East,Wangari Wairimu Khisa,wangari.wairimu@giakanja.co.ke,2017-05-23
Collins Awino Kioni,CBC-103,Grade 2,East,Millicent Akelo Kioni,millicent.akelo@giakanja.co.ke,2018-09-17
Sandra Auma Kavata,CBC-104,Grade 2,East,Lydia Adhiambo Kavata,lydia.adhiambo@giakanja.co.ke,2017-10-04
Amos Warsame Gitau,CBC-105,Grade 2,East,Yvonne Akinyi Gitau,yvonne.akinyi@giakanja.co.ke,2017-10-08
Omondi Muthoni Abubakar,CBC-106,Grade 2,West,Christopher Nekesa Abubakar,christopher.nekesa@giakanja.co.ke,2018-04-08
Eunice Kipkorir Muthike,CBC-107,Grade 2,West,Kipchoge Akinyi Muthike,kipchoge.akinyi@giakanja.co.ke,2017-05-23
Samuel Adhiambo Siaya,CBC-108,Grade 2,West,Mwikali Atieno Siaya,mwikali.atieno@giakanja.co.ke,2017-11-12
Ursula Chelangat Rotich,CBC-109,Grade 2,West,Hellen Kiptoo Rotich,hellen.kiptoo@giakanja.co.ke,2018-07-10
Duncan Waweru Rotich,CBC-110,Grade 2,West,Maina Akelo Rotich,maina.akelo@giakanja.co.ke,2017-02-01
Mary Kipchoge Nyakundi,CBC-111,Grade 2,West,Gloria Adhiambo Nyakundi,gloria.adhiambo@giakanja.co.ke,2018-07-25
Francis Akinyi Simiyu,CBC-112,Grade 2,West,Felix Otieno Simiyu,felix.otieno@giakanja.co.ke,2017-01-15
Hellen Baraka Odhiambo,CBC-113,Grade 2,West,Vivian Awino Odhiambo,vivian.awino@giakanja.co.ke,2018-05-21
Clinton Awino Otieno,CBC-114,Grade 2,West,Shadrack Akelo Otieno,shadrack.akelo@giakanja.co.ke,2017-07-13
Eunice Atieno Okeyo,CBC-115,Grade 2,West,Muthoni Mwikali Okeyo,muthoni.mwikali@giakanja.co.ke,2018-02-27
Abdi Auma Mutiso,CBC-116,Grade 2,West,Zara Njoroge Mutiso,zara.njoroge@giakanja.co.ke,2018-08-02
Wangari Akinyi Abubakar,CBC-117,Grade 2,West,Newton Kiptoo Abubakar,newton.kiptoo@giakanja.co.ke,2018-02-25
Vincent Mwikali Njenga,CBC-118,Grade 2,West,Eric Nekesa Njenga,eric.nekesa@giakanja.co.ke,2018-11-09
Mary Kipkorir Ochieng,CBC-119,Grade 2,West,Anthony Omondi Ochieng,anthony.omondi@giakanja.co.ke,2017-12-06
Shadrack Njeri Njoroge,CBC-120,Grade 2,West,Wangari Auma Njoroge,wangari.auma@giakanja.co.ke,2018-06-13
Benard Kipkorir Ogola,CBC-121,Grade 3,East,Mark Chelangat Ogola,mark.chelangat@giakanja.co.ke,2016-08-03
Rachel Kiptoo Makau,CBC-122,Grade 3,East,Lucy Akinyi Makau,lucy.akinyi@giakanja.co.ke,2016-11-24
Benard Mwikali Owino,CBC-123,Grade 3,East,Calvin Adhiambo Owino,calvin.adhiambo@giakanja.co.ke,2016-02-16
Lydia Maina Oketch,CBC-124,Grade 3,East,Mary Awino Oketch,mary.awino@giakanja.co.ke,2016-03-25
George Kiptoo Wafula,CBC-125,Grade 3,East,Adrian Baraka Wafula,adrian.baraka@giakanja.co.ke,2016-04-08
Gloria Wambui Ngilu,CBC-126,Grade 3,East,Hassan Awino Ngilu,hassan.awino@giakanja.co.ke,2017-10-26
Victor Kipchoge Kimani,CBC-127,Grade 3,East,Geoffrey Awino Kimani,geoffrey.awino@giakanja.co.ke,2016-07-25
Wambui Wairimu Kyalo,CBC-128,Grade 3,East,Faith Chelangat Kyalo,faith.chelangat@giakanja.co.ke,2016-09-23
Eric Auma Bett,CBC-129,Grade 3,East,Wako Kipkorir Bett,wako.kipkorir@giakanja.co.ke,2017-10-21
Irene Waweru Mwende,CBC-130,Grade 3,East,Xenia Maina Mwende,xenia.maina@giakanja.co.ke,2016-06-24
Ian Akelo Waititu,CBC-131,Grade 3,East,Millicent Auma Waititu,millicent.auma@giakanja.co.ke,2017-01-17
Millicent Baraka Mwende,CBC-132,Grade 3,East,Kamau Adhiambo Mwende,kamau.adhiambo@giakanja.co.ke,2016-10-20
Kelvin Kamau Waititu,CBC-133,Grade 3,East,John Mwenda Waititu,john.mwenda@giakanja.co.ke,2017-08-23
Jepkoech Omondi Owino,CBC-134,Grade 3,East,Wanjiru Muthoni Owino,wanjiru.muthoni@giakanja.co.ke,2017-12-28
Victor Omondi Abubakar,CBC-135,Grade 3,East,Kevin Kamau Abubakar,kevin.kamau@giakanja.co.ke,2016-01-16
Abdi Auma Gachuhi,CBC-136,Grade 3,West,Sarah Kiptoo Gachuhi,sarah.kiptoo@giakanja.co.ke,2016-10-24
Sandra Nekesa Sang,CBC-137,Grade 3,West,Peter Wambui Sang,peter.wambui@giakanja.co.ke,2017-06-11
George Mwikali Okeyo,CBC-138,Grade 3,West,Purity Chelangat Okeyo,purity.chelangat@giakanja.co.ke,2016-02-22
Grace Baraka Ouma,CBC-139,Grade 3,West,Nekesa Ochieng Ouma,nekesa.ochieng@giakanja.co.ke,2016-08-14
Eric Akelo Omari,CBC-140,Grade 3,West,John Mwikali Omari,john.mwikali@giakanja.co.ke,2017-02-08
Wanjiku Njeri Njoroge,CBC-141,Grade 3,West,Purity Muthoni Njoroge,purity.muthoni@giakanja.co.ke,2017-06-04
Benard Mwikali Ngilu,CBC-142,Grade 3,West,Philip Adhiambo Ngilu,philip.adhiambo@giakanja.co.ke,2016-09-08
Rose Waweru Njenga,CBC-143,Grade 3,West,Mwikali Kipkorir Njenga,mwikali.kipkorir@giakanja.co.ke,2017-08-28
Kipngetich Awino Ngilu,CBC-144,Grade 3,West,Ochieng Adhiambo Ngilu,ochieng.adhiambo@giakanja.co.ke,2017-04-23
Mary Kiptoo Warui,CBC-145,Grade 3,West,Sarah Mwenda Warui,sarah.mwenda@giakanja.co.ke,2017-07-26
Michael Akinyi Mwenda,CBC-146,Grade 3,West,Catherine Njeri Mwenda,catherine.njeri@giakanja.co.ke,2017-04-12
Kemunto Nekesa Nzomo,CBC-147,Grade 3,West,Peter Mwenda Nzomo,peter.mwenda@giakanja.co.ke,2016-11-26
George Baraka Kimani,CBC-148,Grade 3,West,Kelvin Adhiambo Kimani,kelvin.adhiambo@giakanja.co.ke,2017-11-26
Beatrice Omondi Mugo,CBC-149,Grade 3,West,Enock Njeri Mugo,enock.njeri@giakanja.co.ke,2016-08-11
Calvin Auma Kimani,CBC-150,Grade 3,West,Wambui Kagendo Kimani,wambui.kagendo@giakanja.co.ke,2017-03-14
Oscar Mwenda Ngugi,CBC-151,Grade 4,East,Faith Omondi Ngugi,faith.omondi@giakanja.co.ke,2016-01-02
Grace Adhiambo Otieno,CBC-152,Grade 4,East,Aisha Atieno Otieno,aisha.atieno@giakanja.co.ke,2016-12-10
Kamau Njoroge Mutiso,CBC-153,Grade 4,East,Teresa Mwenda Mutiso,teresa.mwenda@giakanja.co.ke,2016-04-23
Teresa Kipchoge Gichimu,CBC-154,Grade 4,East,Anthony Mwenda Gichimu,anthony.mwenda@giakanja.co.ke,2016-05-07
Mark Akelo Ouma,CBC-155,Grade 4,East,Olivia Wambui Ouma,olivia.wambui@giakanja.co.ke,2016-12-25
Mwikali Njeri Wekesa,CBC-156,Grade 4,East,Gloria Omondi Wekesa,gloria.omondi@giakanja.co.ke,2016-08-26
Victor Omondi Otieno,CBC-157,Grade 4,East,Philip Kagendo Otieno,philip.kagendo@giakanja.co.ke,2015-02-09
Irene Akinyi Mugo,CBC-158,Grade 4,East,Clinton Kipchoge Mugo,clinton.kipchoge@giakanja.co.ke,2016-02-06
Brian Wairimu Omar,CBC-159,Grade 4,East,Timothy Baraka Omar,timothy.baraka@giakanja.co.ke,2015-09-22
Monica Nekesa Otieno,CBC-160,Grade 4,East,Brenda Mwikali Otieno,brenda.mwikali@giakanja.co.ke,2015-09-19
Mohamed Kiptoo Wainaina,CBC-161,Grade 4,East,Duncan Kamau Wainaina,duncan.kamau@giakanja.co.ke,2016-01-15
Catherine Omondi Oketch,CBC-162,Grade 4,East,Philip Wairimu Oketch,philip.wairimu@giakanja.co.ke,2015-05-05
Kamau Njeri Gatheru,CBC-163,Grade 4,East,Solomon Wambui Gatheru,solomon.wambui@giakanja.co.ke,2015-11-06
Nancy Auma Gitonga,CBC-164,Grade 4,East,Gilbert Mwenda Gitonga,gilbert.mwenda@giakanja.co.ke,2016-12-07
Shadrack Awino Ochieng,CBC-165,Grade 4,East,Alex Kiptoo Ochieng,alex.kiptoo@giakanja.co.ke,2015-07-17
Kipngetich Akelo Gachuhi,CBC-166,Grade 4,West,Xenia Warsame Gachuhi,xenia.warsame@giakanja.co.ke,2016-11-27
Kemunto Otieno Oloo,CBC-167,Grade 4,West,Solomon Akelo Oloo,solomon.akelo@giakanja.co.ke,2016-12-08
Raymond Wairimu Gatheru,CBC-168,Grade 4,West,Jelimo Omondi Gatheru,jelimo.omondi@giakanja.co.ke,2016-04-27
Sheila Warsame Kavata,CBC-169,Grade 4,West,Muthoni Omondi Kavata,muthoni.omondi@giakanja.co.ke,2016-06-10
Ryan Njoroge Mwende,CBC-170,Grade 4,West,Winnie Maina Mwende,winnie.maina@giakanja.co.ke,2015-11-25
Rachel Zawadi Nzomo,CBC-171,Grade 4,West,Kagendo Akinyi Nzomo,kagendo.akinyi@giakanja.co.ke,2016-12-13
Leonard Muthoni Muchiri,CBC-172,Grade 4,West,Mark Mwikali Muchiri,mark.mwikali@giakanja.co.ke,2016-06-22
Cynthia Muthoni Njenga,CBC-173,Grade 4,West,Wanjiku Wairimu Njenga,wanjiku.wairimu@giakanja.co.ke,2015-01-15
Ian Zawadi Onyango,CBC-174,Grade 4,West,Jacqueline Maina Onyango,jacqueline.maina@giakanja.co.ke,2015-06-08
Lucy Wairimu Wafula,CBC-175,Grade 4,West,Derrick Warsame Wafula,derrick.warsame@giakanja.co.ke,2015-10-19
Christopher Kamau Mureithi,CBC-176,Grade 4,West,Victor Njeri Mureithi,victor.njeri@giakanja.co.ke,2016-11-16
Eunice Omondi Makau,CBC-177,Grade 4,West,Nafula Muthoni Makau,nafula.muthoni@giakanja.co.ke,2015-10-10
Elijah Kiptoo Ouma,CBC-178,Grade 4,West,Rachel Kipchoge Ouma,rachel.kipchoge@giakanja.co.ke,2015-09-01
Chebet Kipkorir Odero,CBC-179,Grade 4,West,Naomi Mwikali Odero,naomi.mwikali@giakanja.co.ke,2016-07-19
Raymond Awino Mutiso,CBC-180,Grade 4,West,Sandra Kagendo Mutiso,sandra.kagendo@giakanja.co.ke,2015-10-22
Collins Otieno Makau,CBC-181,Grade 5,East,George Chelangat Makau,george.chelangat@giakanja.co.ke,2015-08-16
Sharon Njeri Macharia,CBC-182,Grade 5,East,Michael Atieno Macharia,michael.atieno@giakanja.co.ke,2014-03-17
Meshack Mwikali Bett,CBC-183,Grade 5,East,Hassan Baraka Bett,hassan.baraka@giakanja.co.ke,2014-02-11
Teresa Baraka Mwangi,CBC-184,Grade 5,East,Chepkoech Awino Mwangi,chepkoech.awino@giakanja.co.ke,2015-02-09
James Wanjiku Murithi,CBC-185,Grade 5,East,Xenia Kamau Murithi,xenia.kamau@giakanja.co.ke,2015-07-05
Catherine Mwenda Warsame,CBC-186,Grade 5,East,Anthony Kimani Warsame,anthony.kimani@giakanja.co.ke,2015-10-19
Edwin Kiptoo Omar,CBC-187,Grade 5,East,Violet Kipchoge Omar,violet.kipchoge@giakanja.co.ke,2014-12-01
Cynthia Kamau Onyango,CBC-188,Grade 5,East,Aisha Mwikali Onyango,aisha.mwikali@giakanja.co.ke,2015-12-02
Samuel Kimani Musyoka,CBC-189,Grade 5,East,Dennis Wanjiku Musyoka,dennis.wanjiku@giakanja.co.ke,2015-03-26
Amina Kagendo Mwenda,CBC-190,Grade 5,East,Robert Adhiambo Mwenda,robert.adhiambo@giakanja.co.ke,2014-01-05
Nathan Kipkorir Odhiambo,CBC-191,Grade 5,East,Jane Baraka Odhiambo,jane.baraka@giakanja.co.ke,2015-02-28
Xenia Otieno Muthike,CBC-192,Grade 5,East,Mwikali Kipkorir Muthike,mwikali.kipkorir@giakanja.co.ke,2015-09-20
Derrick Akelo Thuo,CBC-193,Grade 5,East,Eric Kagendo Thuo,eric.kagendo@giakanja.co.ke,2014-09-21
Faith Muthoni Odero,CBC-194,Grade 5,East,Irene Warsame Odero,irene.warsame@giakanja.co.ke,2015-04-23
Derrick Kagendo Ochieng,CBC-195,Grade 5,East,Edna Muthoni Ochieng,edna.muthoni@giakanja.co.ke,2014-07-17
Amos Atieno Kamau,CBC-196,Grade 5,West,Purity Mwikali Kamau,purity.mwikali@giakanja.co.ke,2014-12-10
Chelangat Kiptoo Bett,CBC-197,Grade 5,West,Vivian Muthoni Bett,vivian.muthoni@giakanja.co.ke,2014-08-07
Collins Kagendo Nthiga,CBC-198,Grade 5,West,Brenda Kimani Nthiga,brenda.kimani@giakanja.co.ke,2015-09-27
Monica Atieno Wekesa,CBC-199,Grade 5,West,Edna Njeri Wekesa,edna.njeri@giakanja.co.ke,2015-10-26
Clinton Wanjiku Hussein,CBC-200,Grade 5,West,Chebet Kimani Hussein,chebet.kimani@giakanja.co.ke,2014-12-07
Njeri Ochieng Nyakundi,CBC-201,Grade 5,West,Wairimu Chelangat Nyakundi,wairimu.chelangat@giakanja.co.ke,2015-03-13
Christopher Akinyi Abubakar,CBC-202,Grade 5,West,Xenia Akinyi Abubakar,xenia.akinyi@giakanja.co.ke,2014-08-20
Wanjiru Kipchoge Ogola,CBC-203,Grade 5,West,Joyce Wanjiku Ogola,joyce.wanjiku@giakanja.co.ke,2014-09-05
Victor Kagendo Odhiambo,CBC-204,Grade 5,West,Shadrack Ochieng Odhiambo,shadrack.ochieng@giakanja.co.ke,2015-05-09
Chebet Kagendo Onyango,CBC-205,Grade 5,West,Solomon Awino Onyango,solomon.awino@giakanja.co.ke,2015-04-17
Christopher Njeri Wainaina,CBC-206,Grade 5,West,Irene Mwikali Wainaina,irene.mwikali@giakanja.co.ke,2015-07-21
Brenda Nekesa Odero,CBC-207,Grade 5,West,Mary Nekesa Odero,mary.nekesa@giakanja.co.ke,2014-05-16
Ochieng Otieno Khisa,CBC-208,Grade 5,West,Diana Auma Khisa,diana.auma@giakanja.co.ke,2015-04-03
Nancy Warsame Gichimu,CBC-209,Grade 5,West,Betty Akinyi Gichimu,betty.akinyi@giakanja.co.ke,2015-02-23
